dataset,fold,val_auc,test_auc_homo_sapiens,test_auc_homo_sapiens_mus_musculus,steps,seconds,status
all,1,0.8028293067798147,0.7760704495670868,0.7847874321922215,12041,3773,ok
all,2,0.7917087151974405,0.7876534871081129,0.7854044603587934,12400,3788,ok
all,4,0.7920827449937039,0.7886123712785403,0.7838708416582157,12528,3780,ok
all,3,0.784729911637088,0.7775635531693025,0.769291536699823,12677,3805,ok
allowed_species_homo_sapiens,1,0.8154846635678528,0.7837198083101931,0.7872483573918977,12235,3772,ok
all,5,0.7892675736630047,0.7896858874465192,0.7869082527852247,12558,3786,ok
allowed_species_homo_sapiens,2,0.7856696713616266,0.799971646032076,0.7880089745217325,12171,3773,ok
allowed_species_homo_sapiens,3,0.7863445743168995,0.7799872320620251,0.7651971479087112,12863,3792,ok
allowed_species_homo_sapiens,4,0.7962982919318535,0.8005414722108516,0.7853837071256238,12463,3778,ok
allowed_species_homo_sapiens,5,0.7967085909532153,0.8002783886925942,0.7874764444061799,12565,3785,ok
allowed_species_homo_sapiens_mus_musculus,1,0.8071789024999911,0.7768730611748433,0.7851034082882535,12200,3781,ok
allowed_species_homo_sapiens_mus_musculus,2,0.7890856941670562,0.7947689564545629,0.7880125988836157,12400,3780,ok
allowed_species_homo_sapiens_mus_musculus,3,0.7831551692457469,0.7750221443678775,0.7664409629891027,12800,3818,ok
allowed_species_homo_sapiens_mus_musculus,4,0.7914074883681049,0.7911234021957336,0.7843931165826314,12600,3790,ok
min_num_clusters_2,1,0.799824222146354,0.7749691807524488,0.783702587968958,12140,3773,ok
allowed_species_homo_sapiens_mus_musculus,5,0.7889809117705429,0.7839635195050823,0.7813312600571849,12573,3788,ok
min_num_clusters_2,2,0.7835091910602442,0.7906623964576271,0.7862705136179592,12097,3769,ok
min_num_clusters_2,3,0.7772953955151627,0.7806612996918775,0.7723087389200766,12692,3797,ok
min_num_clusters_2,4,0.7997707345310084,0.7894781040039137,0.7841960494957807,12200,3789,ok
min_num_clusters_2,5,0.7859990100319835,0.7806176520322424,0.7735431640855974,12430,3787,ok
min_num_clusters_3,1,0.7991530253898473,0.7657747821382132,0.7726484338180117,9800,3212,ok
min_num_clusters_3,2,0.7788936936740277,0.7887641272226422,0.7855567540707624,11800,3743,ok
min_num_clusters_3,3,0.7690052235414083,0.7736631939875849,0.7625771264470633,11600,3631,ok
min_num_clusters_3,4,0.7911895673025809,0.7885875528910063,0.7795302990121642,11000,3464,ok
min_num_clusters_4,1,0.7931418738083937,0.7584416575940515,0.7648401618978427,9000,2925,ok
min_num_clusters_3,5,0.7900998544662404,0.7761212370549531,0.7698526697025502,11938,3872,ok
min_num_clusters_4,2,0.7708611302620817,0.7751234610760276,0.7743893147662961,8600,2932,ok
min_num_clusters_4,3,0.7629337738254512,0.7672210725177873,0.7564620018952348,8200,2567,ok
min_num_clusters_4,4,0.7848150910650911,0.7866769172858503,0.7787035363059365,10800,3449,ok
min_num_clusters_4,5,0.7762983753601808,0.7693153243664559,0.7640491894873429,11200,3464,ok
min_resolution_3,1,0.7874751109800195,0.7666848906056853,0.7744610006010246,12997,3769,ok
min_resolution_3,2,0.7689488426814417,0.7572314451465282,0.7574960006741408,12600,3561,ok
min_resolution_3,4,0.7667147021599077,0.7657712872141228,0.7622848130212556,11400,3194,ok
min_resolution_3,3,0.7574743946299699,0.7529282135373606,0.7415878561260176,12000,3358,ok
min_resolution_3,5,0.7637737069263916,0.7486170428688936,0.7507372233173838,12200,3423,ok
min_resolution_4,1,0.8027558097857745,0.7772067379851776,0.7846352052665442,12368,3760,ok
min_resolution_4,2,0.7885624523488112,0.7897936528114092,0.787947819878635,12365,3757,ok
min_resolution_4,3,0.7793025907438875,0.7800864565515806,0.7702159139098282,12906,3787,ok
min_resolution_4,4,0.790719520000342,0.7882973261988707,0.7810046660478082,12526,3773,ok
min_resolution_4,5,0.7888730883309925,0.7926168464150165,0.7887672173310705,12801,3787,ok
